﻿area,floors,building_type,damage_level,region,repair_type,restoration_cost
4000,5,Багатоквартирна,Тяжке,м. Одеса,Капітальний,32788802
7200,9,Багатоквартирна,Тяжке,Київська обл.,Капітальний,39493328
7200,9,Адміністративна,Середнє,Київська обл.,Капітальний,27781429
7200,9,Багатоквартирна,Тяжке,Київська обл.,Капітальний,48975673
4000,5,Багатоквартирна,Тяжке,Київська обл.,Капітальний,49790360
4000,5,Багатоквартирна,Тяжке,Київська обл.,Капітальний,63354904
8000,10,Багатоквартирна,Тяжке,Київська обл.,Повна реконструкція,96045497
7200,9,Багатоквартирна,Тяжке,Київська обл.,Капітальний,321652285
3200,4,Багатоквартирна,Тяжке,Київська обл.,Капітальний,86877046
4000,5,Багатоквартирна,Тяжке,Київська обл.,Капітальний,86432499
7200,9,Багатоквартирна,Тяжке,м. Запоріжжя,Капітальний,97455204
7200,9,Багатоквартирна,Середнє,м. Запоріжжя,Капітальний,24725272
4000,5,Багатоквартирна,Середнє,м. Запоріжжя,Капітальний,13348000
4000,5,Багатоквартирна,Середнє,м. Запоріжжя,Капітальний,29838682
4000,5,Багатоквартирна,Тяжке,м. Запоріжжя,Повна реконструкція,139636363
4000,5,Багатоквартирна,Легке,м. Миколаїв,Капітальний,15640698
9600,12,Багатоквартирна,Середнє,м. Харків,Капітальний,50111246
2400,3,Багатоквартирна,Легке,м. Харків,Капітальний,14816388
7200,9,Багатоквартирна,Легке,м. Харків,Поточний,6523420
7200,9,Багатоквартирна,Середнє,м. Харків,Капітальний,12815934
12800,16,Багатоквартирна,Тяжке,м. Харків,Капітальний,92045720
9600,12,Багатоквартирна,Тяжке,м. Харків,Капітальний,89388386
9600,12,Багатоквартирна,Тяжке,м. Харків,Капітальний,73774966
3200,4,Багатоквартирна,Тяжке,м. Харків,Капітальний,68674967
7200,9,Багатоквартирна,Тяжке,м. Харків,Капітальний,77315896
7200,9,Багатоквартирна,Тяжке,м. Харків,Капітальний,63129423
7200,9,Багатоквартирна,Тяжке,м. Харків,Капітальний,76634522
3200,4,Багатоквартирна,Середнє,м. Харків,Капітальний,32843489
7200,9,Багатоквартирна,Легке,м. Харків,Поточний,2948233
4000,5,Багатоквартирна,Середнє,м. Харків,Капітальний,22987408
1600,2,Історична пам'ятка,Середнє,м. Харків,Капітальний,2972856
4800,6,Історична пам'ятка,Середнє,м. Харків,Капітальний,27299654
4000,5,Багатоквартирна,Тяжке,м. Харків,Капітальний,16999485
7200,9,Багатоквартирна,Тяжке,м. Харків,Капітальний,44441057
3200,4,Нежитлова,Середнє,м. Харків,Капітальний,25943436
4000,5,Багатоквартирна,Середнє,м. Харків,Поточний,13930986
7200,9,Багатоквартирна,Тяжке,Одеська обл.,Капітальний,45955000
4000,5,Багатоквартирна,Тяжке,Сумська обл.,Капітальний,44103000
4000,5,Багатоквартирна,Середнє,Сумська обл.,Капітальний,26576000
800,1,Освітня,Середнє,Чернігівська обл.,Капітальний,14462000
7425,9,Багатоквартирна,Тяжке,м. Харків,Повна реконструкція,82500000
3720,5,Багатоквартирна,Середнє,м. Харків,Капітальний,37200000
4500,9,Багатоквартирна,Середнє,м. Миколаїв,Капітальний,45000000
2180,5,Багатоквартирна,Легке,м. Одеса,Капітальний,21800000
2890,4,Багатоквартирна,Середнє,м. Суми,Капітальний,28900000
7410,9,Багатоквартирна,Тяжке,м. Чернігів,Капітальний,74100000
9600,12,Багатоквартирна,Тяжке,Київська обл.,Капітальний,97000000
3980,5,Багатоквартирна,Тяжке,Київська обл.,Капітальний,39800000
4400,9,Багатоквартирна,Середнє,м. Полтава,Капітальний,44000000
3100,5,Багатоквартирна,Середнє,м. Херсон,Капітальний,31000000
7425,9,Багатоквартирна,Середнє,м. Київ,Капітальний,42000000
